"","intercept","prevalence","prev_target","c","distn"
"86",-0.752038698388137,0.5003871,0.5,1,"unif_n13"
"87",-1.36023636055038,0.50021,0.5,1.5,"unif_n13"
"88",-1.79175946922805,0.5001505,0.5,2,"unif_n13"
"89",-2.12647479619937,0.500152,0.5,2.5,"unif_n13"
"90",-2.3999571313903,0.5001987,0.5,3,"unif_n13"
"91",-0.346573590279973,0.4997874,0.5,1,"norm_01"
"92",-0.549306144334055,0.4998377,0.5,1.5,"norm_01"
"93",-0.693147180559945,0.4999142,0.5,2,"norm_01"
"94",-0.80471895621705,0.4999912,0.5,2.5,"norm_01"
"95",-0.895879734614027,0.4999881,0.5,3,"norm_01"
"96",-1.1575038064963,0.4851777,0.5,1,"gamma1_5"
"97",-2.17116657676671,0.4500766,0.5,1.5,"gamma1_5"
"98",-2.89037175789616,0.4278474,0.5,2,"gamma1_5"
"99",-3.44823063618169,0.414689,0.5,2.5,"gamma1_5"
"100",-3.90403452816658,0.406252,0.5,3,"gamma1_5"
"101",-0.26548056865834,0.5964827,0.6,1,"binary_080"
"102",-0.792585209198954,0.5915143,0.6,1.5,"binary_080"
"103",-1.16657190338627,0.588247,0.6,2,"binary_080"
"104",-1.45665852009474,0.5859819,0.6,2.5,"binary_080"
"105",-1.69367654392688,0.5846791,0.6,3,"binary_080"
"106",-0.346573590279973,0.5913817,0.6,1,"unif_n13"
"107",-0.954771252442219,0.5737917,0.6,1.5,"unif_n13"
"108",-1.38629436111989,0.5605898,0.6,2,"unif_n13"
"109",-1.72100968809121,0.5515363,0.6,2.5,"unif_n13"
"110",-1.99449202328214,0.5450483,0.6,3,"unif_n13"
"111",0.0588915178281916,0.5926146,0.6,1,"norm_01"
"112",-0.143841036225891,0.5785109,0.6,1.5,"norm_01"
"113",-0.287682072451781,0.5679624,0.6,2,"norm_01"
"114",-0.399253848108886,0.5603041,0.6,2.5,"norm_01"
"115",-0.490414626505863,0.5545412,0.6,3,"norm_01"
"116",-0.752038698388137,0.5720356,0.6,1,"gamma1_5"
"117",-1.76570146865855,0.5164105,0.6,1.5,"gamma1_5"
"118",-2.484906649788,0.48078,0.6,2,"gamma1_5"
"119",-3.04276552807352,0.4584651,0.6,2.5,"gamma1_5"
"120",-3.49856942005841,0.4441688,0.6,3,"gamma1_5"
"121",0.176352183620699,0.6937002,0.7,1,"binary_080"
"122",-0.350752456919914,0.6833496,0.7,1.5,"binary_080"
"123",-0.72473915110723,0.6743549,0.7,2,"binary_080"
"124",-1.0148257678157,0.6673638,0.7,2.5,"binary_080"
"125",-1.25184379164784,0.6617134,0.7,3,"binary_080"
"126",0.0952591619990666,0.6844516,0.7,1,"unif_n13"
"127",-0.51293850016318,0.6509131,0.7,1.5,"unif_n13"
"128",-0.944461608840852,0.6252614,0.7,2,"unif_n13"
"129",-1.27917693581217,0.6071784,0.7,2.5,"unif_n13"
"130",-1.5526592710031,0.5941033,0.7,3,"unif_n13"
"131",0.500724270107231,0.6871758,0.7,1,"norm_01"
"132",0.297991716053149,0.6608372,0.7,1.5,"norm_01"
"133",0.154150679827258,0.6401973,0.7,2,"norm_01"
"134",0.0425789041701534,0.6247985,0.7,2.5,"norm_01"
"135",-0.0485818742268239,0.6131728,0.7,3,"norm_01"
"136",-0.310205946109098,0.6631947,0.7,1,"gamma1_5"
"137",-1.32386871637951,0.5913507,0.7,1.5,"gamma1_5"
"138",-2.04307389750896,0.5420944,0.7,2,"gamma1_5"
"139",-2.60093277579449,0.5102108,0.7,2.5,"gamma1_5"
"140",-3.05673666777937,0.4886616,0.7,3,"gamma1_5"
"141",0.715348684353386,0.7926558,0.8,1,"binary_080"
"142",0.188244043812773,0.7793979,0.8,1.5,"binary_080"
"143",-0.185742650374543,0.7665667,0.8,2,"binary_080"
"144",-0.475829267083015,0.7556381,0.8,2.5,"binary_080"
"145",-0.712847290915156,0.7464892,0.8,3,"binary_080"
"146",0.634255662731753,0.7813461,0.8,1,"unif_n13"
"147",0.0260580005695069,0.7382214,0.8,1.5,"unif_n13"
"148",-0.405465108108164,0.7012901,0.8,2,"unif_n13"
"149",-0.740180435079479,0.6740528,0.8,2.5,"unif_n13"
"150",-1.01366277027041,0.6539571,0.8,3,"unif_n13"
"151",1.03972077083992,0.7846389,0.8,1,"norm_01"
"152",0.836988216785836,0.7510167,0.8,1.5,"norm_01"
"153",0.693147180559945,0.7221691,0.8,2,"norm_01"
"154",0.58157540490284,0.6999054,0.8,2.5,"norm_01"
"155",0.490414626505863,0.6825959,0.8,3,"norm_01"
"156",0.228790554623589,0.7619433,0.8,1,"gamma1_5"
"157",-0.784872215646822,0.682024,0.8,1.5,"gamma1_5"
"158",-1.50407739677627,0.6206106,0.8,2,"gamma1_5"
"159",-2.0619362750618,0.5784087,0.8,2.5,"gamma1_5"
