"","intercept","marg.expectation","time","marg_target","c","distn"
"elapsed26",-1.9775021196026,0.41484416,15.5629999999946,0.4,2,"binary_080"
"elapsed36",-2.26758873631107,0.41940606,15.8830000000016,0.4,2.5,"binary_080"
"elapsed46",-2.50460676014321,0.42318896,15.512999999999,0.4,3,"binary_080"
"elapsed53",-1.1575038064963,0.40720342,14.5720000000001,0.4,1,"unif_n13"
"elapsed113",-1.76570146865855,0.42021937,14.3899999999994,0.4,1.5,"unif_n13"
"elapsed213",-2.19722457733622,0.4297343,14.4099999999962,0.4,2,"unif_n13"
"elapsed313",-2.53193990430753,0.43646809,14.5970000000016,0.4,2.5,"unif_n13"
"elapsed413",-2.80542223949847,0.44139431,14.2710000000006,0.4,3,"unif_n13"
"elapsed63",-0.752038698388137,0.40616599,17.9030000000057,0.4,1,"norm_01"
"elapsed123",-0.954771252442219,0.41662247,17.7459999999992,0.4,1.5,"norm_01"
"elapsed223",-1.09861228866811,0.42441967,17.612000000001,0.4,2,"norm_01"
"elapsed323",-1.21018406432521,0.43015151,17.5470000000059,0.4,2.5,"norm_01"
"elapsed423",-1.30134484272219,0.43445156,17.6290000000008,0.4,3,"norm_01"
"elapsed73",-1.56296891460447,0.40294473,23.0180000000037,0.4,1,"gamma1_5"
"elapsed133",-2.57663168487488,0.39578051,22.9930000000022,0.4,1.5,"gamma1_5"
"elapsed233",-3.29583686600433,0.38977048,22.6600000000035,0.4,2,"gamma1_5"
"elapsed333",-3.85369574428985,0.38568485,22.6520000000019,0.4,2.5,"gamma1_5"
"elapsed433",-4.30949963627474,0.38297482,22.6189999999988,0.4,3,"gamma1_5"
"elapsed17",-0.670945676766504,0.5001407,15.7839999999997,0.5,1,"binary_080"
"elapsed18",-1.19805031730712,0.50071837,15.648000000001,0.5,1.5,"binary_080"
"elapsed27",-1.57203701149443,0.50150426,15.5210000000006,0.5,2,"binary_080"
"elapsed37",-1.86212362820291,0.50215566,15.6579999999958,0.5,2.5,"binary_080"
"elapsed47",-2.09914165203505,0.50264942,15.5770000000048,0.5,3,"binary_080"
"elapsed54",-0.752038698388137,0.50004326,14.5040000000008,0.5,1,"unif_n13"
"elapsed114",-1.36023636055038,0.49999614,14.4190000000017,0.5,1.5,"unif_n13"
"elapsed214",-1.79175946922805,0.50002562,14.2589999999982,0.5,2,"unif_n13"
"elapsed314",-2.12647479619937,0.50000231,14.2819999999992,0.5,2.5,"unif_n13"
"elapsed414",-2.3999571313903,0.50001281,14.1759999999995,0.5,3,"unif_n13"
"elapsed64",-0.346573590279973,0.49993995,17.9330000000045,0.5,1,"norm_01"
"elapsed124",-0.549306144334055,0.49994623,17.9210000000021,0.5,1.5,"norm_01"
"elapsed224",-0.693147180559945,0.49999631,17.5820000000022,0.5,2,"norm_01"
"elapsed324",-0.80471895621705,0.50000267,17.5239999999976,0.5,2.5,"norm_01"
"elapsed424",-0.895879734614027,0.50001349,17.5709999999963,0.5,3,"norm_01"
"elapsed74",-1.1575038064963,0.48971444,23.3050000000003,0.5,1,"gamma1_5"
"elapsed134",-2.17116657676671,0.46524129,22.8420000000042,0.5,1.5,"gamma1_5"
"elapsed234",-2.89037175789616,0.44881544,22.849000000002,0.5,2,"gamma1_5"
"elapsed334",-3.44823063618169,0.43801537,22.5859999999957,0.5,2.5,"gamma1_5"
"elapsed434",-3.90403452816658,0.43048313,22.7560000000012,0.5,3,"gamma1_5"
"elapsed19",-0.26548056865834,0.59670983,15.7460000000065,0.6,1,"binary_080"
"elapsed110",-0.792585209198954,0.59197775,15.6699999999983,0.6,1.5,"binary_080"
"elapsed28",-1.16657190338627,0.58801365,15.6829999999973,0.6,2,"binary_080"
"elapsed38",-1.45665852009474,0.58477105,15.6110000000044,0.6,2.5,"binary_080"
"elapsed48",-1.69367654392688,0.58201782,15.5689999999959,0.6,3,"binary_080"
"elapsed55",-0.346573590279973,0.59276824,14.6080000000002,0.6,1,"unif_n13"
"elapsed115",-0.954771252442219,0.57978776,14.3339999999953,0.6,1.5,"unif_n13"
"elapsed215",-1.38629436111989,0.57029141,14.2810000000027,0.6,2,"unif_n13"
"elapsed315",-1.72100968809121,0.56356634,14.2509999999966,0.6,2.5,"unif_n13"
"elapsed415",-1.99449202328214,0.5586422,14.3629999999976,0.6,3,"unif_n13"
"elapsed65",0.0588915178281916,0.59389002,17.7849999999962,0.6,1,"norm_01"
"elapsed125",-0.143841036225891,0.58338518,17.7819999999992,0.6,1.5,"norm_01"
"elapsed225",-0.287682072451781,0.57553279,17.6869999999981,0.6,2,"norm_01"
