"","intercept","marginal.expectation","iterations","a","b","time","marg_target","c","distn"
"50",-3.831787109375,0.29998934,14,-3.8330078125,-3.83056640625,0.580000000001746,0.3,3,"unif_n13"
"51",-1.2469482421875,0.30022327,15,-1.24755859375,-1.246337890625,0.638999999995576,0.3,1,"norm_01"
"52",-1.561279296875,0.30039946,14,-1.5625,-1.56005859375,0.605999999999767,0.3,1.5,"norm_01"
"53",-1.80908203125,0.30053013,13,-1.8115234375,-1.806640625,0.567999999999302,0.3,2,"norm_01"
"54",-2.01171875,0.30055175,10,-2.03125,-1.9921875,0.452999999994063,0.3,2.5,"norm_01"
"55",-2.1826171875,0.30049767,12,-2.1875,-2.177734375,0.538000000000466,0.3,3,"norm_01"
"56",-2.08984375,0.30016955,10,-2.109375,-2.0703125,0.505000000004657,0.3,1,"gamma1_5"
"57",-3.201904296875,0.3003132,14,-3.203125,-3.20068359375,0.659999999988941,0.3,1.5,"gamma1_5"
"58",-3.990478515625,0.30038706,14,-3.99169921875,-3.9892578125,0.648000000001048,0.3,2,"gamma1_5"
"59",-4.605712890625,0.30039122,14,-4.60693359375,-4.6044921875,0.656999999991967,0.3,2.5,"gamma1_5"
"60",-5.10986328125,0.30054016,13,-5.1123046875,-5.107421875,0.622000000003027,0.3,3,"gamma1_5"
"61",-1.0906982421875,0.40018576,15,-1.09130859375,-1.090087890625,0.631999999997788,0.4,1,"binary_080"
"62",-1.6455078125,0.40016975,12,-1.650390625,-1.640625,0.600000000005821,0.4,1.5,"binary_080"
"63",-2.047119140625,0.40026352,14,-2.04833984375,-2.0458984375,0.708000000013271,0.4,2,"binary_080"
"64",-2.3626708984375,0.40037894,15,-2.36328125,-2.362060546875,0.63399999999092,0.4,2.5,"binary_080"
"65",-2.623291015625,0.40039837,14,-2.62451171875,-2.6220703125,0.669999999998254,0.4,3,"binary_080"
"66",-1.190185546875,0.39988326,14,-1.19140625,-1.18896484375,0.618999999991502,0.4,1,"unif_n13"
"67",-1.8701171875,0.40009267,12,-1.875,-1.865234375,0.494000000006054,0.4,1.5,"unif_n13"
"68",-2.371826171875,0.39996689,14,-2.373046875,-2.37060546875,0.686000000001513,0.4,2,"unif_n13"
"69",-2.767333984375,0.40006073,14,-2.7685546875,-2.76611328125,0.573000000003958,0.4,2.5,"unif_n13"
"70",-3.095703125,0.3999473,11,-3.10546875,-3.0859375,0.452000000004773,0.4,3,"unif_n13"
"71",-0.777587890625,0.40032042,14,-0.77880859375,-0.7763671875,0.652999999991152,0.4,1,"norm_01"
"72",-1.03515625,0.40041927,10,-1.0546875,-1.015625,0.455999999991036,0.4,1.5,"norm_01"
"73",-1.229248046875,0.40055585,14,-1.23046875,-1.22802734375,0.614000000001397,0.4,2,"norm_01"
"74",-1.385498046875,0.40049577,14,-1.38671875,-1.38427734375,0.605999999999767,0.4,2.5,"norm_01"
"75",-1.514892578125,0.40056217,14,-1.51611328125,-1.513671875,0.600000000005821,0.4,3,"norm_01"
"76",-1.575927734375,0.40024036,14,-1.5771484375,-1.57470703125,0.707999999998719,0.4,1,"gamma1_5"
"77",-2.548828125,0.40041353,11,-2.55859375,-2.5390625,0.544000000008964,0.4,1.5,"gamma1_5"
"78",-3.22021484375,0.40041806,13,-3.22265625,-3.2177734375,0.619999999995343,0.4,2,"gamma1_5"
"79",-3.7353515625,0.40053046,12,-3.740234375,-3.73046875,0.582999999998719,0.4,2.5,"gamma1_5"
"80",-4.1552734375,0.40055858,12,-4.16015625,-4.150390625,0.578999999997905,0.4,3,"gamma1_5"
"81",-0.6707763671875,0.50010062,15,-0.67138671875,-0.670166015625,0.634000000005472,0.5,1,"binary_080"
"82",-1.199951171875,0.50032871,14,-1.201171875,-1.19873046875,0.585000000006403,0.5,1.5,"binary_080"
"83",-1.5777587890625,0.50025759,15,-1.578369140625,-1.5771484375,0.627999999996973,0.5,2,"binary_080"
"84",-1.871337890625,0.50025508,14,-1.87255859375,-1.8701171875,0.597000000008848,0.5,2.5,"binary_080"
"85",-2.110595703125,0.50035861,14,-2.11181640625,-2.109375,0.654999999998836,0.5,3,"binary_080"
"86",-0.751953125,0.49999323,11,-0.76171875,-0.7421875,0.494999999995343,0.5,1,"unif_n13"
"87",-1.35986328125,0.50005435,13,-1.3623046875,-1.357421875,0.740000000005239,0.5,1.5,"unif_n13"
"88",-1.7919921875,0.49993864,12,-1.796875,-1.787109375,0.49900000001071,0.5,2,"unif_n13"
"89",-2.12646484375,0.4999823,13,-2.12890625,-2.1240234375,0.540000000008149,0.5,2.5,"unif_n13"
"90",-2.39990234375,0.49997033,13,-2.40234375,-2.3974609375,0.538000000000466,0.5,3,"unif_n13"
"91",-0.345458984375,0.50017563,14,-0.3466796875,-0.34423828125,0.61799999998766,0.5,1,"norm_01"
"92",-0.546875,0.50040636,8,-0.625,-0.46875,0.377999999996973,0.5,1.5,"norm_01"
"93",-0.689697265625,0.50059318,14,-0.69091796875,-0.6884765625,0.609000000011292,0.5,2,"norm_01"
"94",-0.80078125,0.50063564,10,-0.8203125,-0.78125,0.453999999997905,0.5,2.5,"norm_01"
"95",-0.892333984375,0.50053029,14,-0.8935546875,-0.89111328125,0.612999999997555,0.5,3,"norm_01"
"96",-1.109619140625,0.50023871,14,-1.11083984375,-1.1083984375,0.661000000007334,0.5,1,"gamma1_5"
"97",-1.973876953125,0.50050744,14,-1.97509765625,-1.97265625,0.740999999994528,0.5,1.5,"gamma1_5"
"98",-2.55615234375,0.50040611,13,-2.55859375,-2.5537109375,0.747999999992317,0.5,2,"gamma1_5"
"99",-2.996826171875,0.5005041,14,-2.998046875,-2.99560546875,0.668000000005122,0.5,2.5,"gamma1_5"
"100",-3.353271484375,0.50055815,14,-3.3544921875,-3.35205078125,0.645999999993364,0.5,3,"gamma1_5"
"101",-0.2508544921875,0.60005212,15,-0.25146484375,-0.250244140625,0.619999999995343,0.6,1,"binary_080"
"102",-0.7550048828125,0.60015664,15,-0.755615234375,-0.75439453125,0.698000000003958,0.6,1.5,"binary_080"
"103",-1.1077880859375,0.60016324,15,-1.1083984375,-1.107177734375,0.636999999987893,0.6,2,"binary_080"
"104",-1.3787841796875,0.60015809,15,-1.37939453125,-1.378173828125,0.635999999998603,0.6,2.5,"binary_080"
"105",-1.597900390625,0.60027272,14,-1.59912109375,-1.5966796875,0.661000000007334,0.6,3,"binary_080"
"106",-0.313720703125,0.60002109,14,-0.31494140625,-0.3125,0.6990000000078,0.6,1,"unif_n13"
"107",-0.849609375,0.59999367,11,-0.859375,-0.83984375,0.459000000002561,0.6,1.5,"unif_n13"
"108",-1.212158203125,0.59990327,14,-1.21337890625,-1.2109375,0.561000000001513,0.6,2,"unif_n13"
"109",-1.485595703125,0.59987638,14,-1.48681640625,-1.484375,0.626999999993131,0.6,2.5,"unif_n13"
"110",-1.7041015625,0.59997054,12,-1.708984375,-1.69921875,0.498999999996158,0.6,3,"unif_n13"
"111",0.0872802734375,0.60022803,15,0.086669921875,0.087890625,0.644000000000233,0.6,1,"norm_01"
"112",-0.05859375,0.60045469,10,-0.078125,-0.0390625,0.445000000006985,0.6,1.5,"norm_01"
"113",-0.150146484375,0.60055969,14,-0.1513671875,-0.14892578125,0.601999999998952,0.6,2,"norm_01"
"114",-0.21728515625,0.60050791,13,-0.2197265625,-0.21484375,0.580000000001746,0.6,2.5,"norm_01"
"115",-0.2685546875,0.60070012,12,-0.2734375,-0.263671875,0.523000000001048,0.6,3,"norm_01"
"116",-0.650634765625,0.60020897,14,-0.65185546875,-0.6494140625,0.703999999997905,0.6,1,"gamma1_5"
"117",-1.424560546875,0.60044846,14,-1.42578125,-1.42333984375,0.666000000011991,0.6,1.5,"gamma1_5"
"118",-1.93115234375,0.60054549,13,-1.93359375,-1.9287109375,0.625,0.6,2,"gamma1_5"
"119",-2.31201171875,0.60043107,13,-2.314453125,-2.3095703125,0.634999999994761,0.6,2.5,"gamma1_5"
"120",-2.6171875,0.6004558,9,-2.65625,-2.578125,0.459000000002561,0.6,3,"gamma1_5"
